id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26408,Huge Central Victorian/Alamo Square,111141,Isabella,,Western Addition,37.77478,-122.4315,Entire home/apt,450,2,33,6/20/2019,0.34,1,0
27025,"Elegant, Edwardian Apartment in the Castro/Eureka Valley",115673,Luis,,Castro/Upper Market,37.76298,-122.43136,Entire home/apt,125,30,130,6/8/2019,1.16,1,126
27028,Secret Mission Garden,7149,Ivan & Wendy,,Mission,37.76098,-122.42158,Private room,199,1,26,7/20/2019,0.5,2,0
29373,Sunny house with garden,126263,Cecilia,,Bernal Heights,37.73729,-122.41163,Entire home/apt,220,4,15,7/23/2019,0.15,2,81
29557,gigi's bed and breakfast,126036,Gigi,,Outer Richmond,37.77931,-122.50518,Entire home/apt,155,2,49,7/31/2019,0.45,1,260
32414,"Cozy, Sunny and Private Space",140251,Lisa,,Bernal Heights,37.74025,-122.41259,Entire home/apt,150,30,93,5/31/2018,0.84,1,255
39174,Bette's New Place,127367,Annette,,Noe Valley,37.7483,-122.42488,Entire home/apt,107,30,20,8/25/2017,0.21,18,326
39418,"Comfortable Home Base, Bernal Heights",169184,Therese And Nelson,,Bernal Heights,37.74093,-122.42055,Entire home/apt,94,60,21,8/5/2017,0.22,2,351
40092,Cute Private Apt in the hip Mission,172182,Brian & Leah,,Mission,37.76016,-122.41969,Entire home/apt,108,30,97,3/19/2019,0.9,2,5
40138,Peaceful room in yoga teacher's colorful apt.,172306,Ay,,Presidio Heights,37.78255,-122.44844,Private room,67,30,136,1/12/2019,1.29,1,294
41055,Cozy Castro Cottage with Cat,178043,Chas,,Castro/Upper Market,37.76125,-122.43335,Entire home/apt,159,4,54,7/24/2019,0.5,2,0
41172,Sue's Place,53314,Sue,,Bernal Heights,37.74083,-122.41763,Private room,125,3,244,7/30/2019,2.24,1,321
41399,"Heart of San Francisco, the Mission",180530,Anton,,Mission,37.75611,-122.41866,Entire home/apt,290,30,79,3/15/2019,0.96,1,365
41423,Guest Cottage - SF,180715,Dana,,Glen Park,37.73557,-122.43302,Entire home/apt,136,30,147,5/2/2019,1.35,1,363
41609,Spacious Quiet SF Downtown Retreat,54299,Peter,,Nob Hill,37.79001,-122.41292,Entire home/apt,170,30,14,7/18/2019,0.13,1,202
42403,Captain's - Quarters,127367,Annette,,Bernal Heights,37.73356,-122.41851,Entire home/apt,85,30,6,6/1/2017,0.06,18,309
42408,"Crows Nest,Charming Jr. One Bedroom",127367,Annette,,Bernal Heights,37.73404,-122.41781,Entire home/apt,85,30,4,4/6/2016,0.04,18,217
42454,Bookish Mission District Flat with backyard,177664,Gerard,,Mission,37.75117,-122.41326,Entire home/apt,104,10,10,1/7/2019,0.11,1,2
42577,Garden View Hideaway - PET FRIENDLY,127367,Annette,,Potrero Hill,37.75447,-122.38813,Entire home/apt,150,30,2,8/20/2017,0.03,18,359
43778,Lyon's Den,127367,Annette,,Haight Ashbury,37.77272,-122.44084,Entire home/apt,120,30,8,7/14/2018,0.07,18,348
44032,Secret Lounge in The Mission,98733,David + Tina,,Mission,37.75145,-122.41207,Entire home/apt,95,31,282,5/31/2019,2.58,2,160
44680,Cute Noe/Mission Apartment,196626,Paul,,Mission,37.75121,-122.42165,Entire home/apt,175,30,3,10/4/2010,0.03,1,58
45299,Private Castro Studio with 2 beds,178043,Chas,,Castro/Upper Market,37.76068,-122.43331,Entire home/apt,116,3,134,7/25/2019,1.23,2,8
45956,Central in SF - Victorian Classic Home - 5 Stars,202591,Jose  Jeffrey,,Western Addition,37.77248,-122.43016,Private room,125,1,132,7/31/2019,1.59,3,80
47486,CACTUS COTTAGE  with easy parking/public transp.,215133,Richard,,Ocean View,37.72536,-122.46861,Entire home/apt,78,30,29,12/21/2018,0.27,1,330
47682,"""One-bedroom apt.  Lafayette Park""",216682,Jay,,Pacific Heights,37.7925,-122.42431,Entire home/apt,120,30,26,4/5/2019,0.24,9,340
51073,In the Heart of San Francisco,234859,Michelle,,South of Market,37.77116,-122.42199,Private room,160,2,151,1/19/2019,1.41,2,0
51374,2BR in heart of SF. Golden views!,236023,Tom,,Inner Sunset,37.76519,-122.45613,Entire home/apt,9999,365,8,11/13/2012,0.07,1,348
51557,Centrally Located Victorian Apartment,237200,Len,,Western Addition,37.77121,-122.42834,Entire home/apt,119,30,106,3/16/2019,0.98,1,243
51773,Prime Location - Small Cozy Room,216682,Jay,,Pacific Heights,37.79312,-122.426,Private room,55,30,162,7/30/2019,1.61,9,293
52713,Nob Hill room with a great view,244235,Michael,,Nob Hill,37.79667,-122.41272,Private room,99,30,166,8/11/2018,1.54,1,161
53280,Large & sunny room with bath + yard,126263,Cecilia,,Bernal Heights,37.73878,-122.41189,Private room,90,3,134,5/26/2019,1.25,2,291
53934,ATTN INTERNS AND STUDENTS:  URBAN RAINBOW CONDO,252376,Megan,,Downtown/Civic Center,37.78775,-122.41634,Entire home/apt,163,60,232,4/13/2019,2.16,1,122
54518,Financial District Corporate Condo,255971,Kathy,,Financial District,37.7933,-122.40079,Entire home/apt,195,30,17,10/31/2018,0.17,1,291
54634,Studio Apartment Lafayette Park,216682,Jay,,Pacific Heights,37.79166,-122.4265,Entire home/apt,115,30,40,7/18/2019,0.37,9,331
55632,"❤️Stunning Luxury Apt, 5 star reviews, Laundry,",262875,Paul & Debbie,,Outer Richmond,37.77959,-122.48619,Entire home/apt,112,30,10,5/21/2017,0.1,2,278
55636,"❤️ Super luxury Apt, Great View,  5 Star Reviews",262875,Paul & Debbie,,Twin Peaks,37.74889,-122.44479,Entire home/apt,116,30,27,4/21/2019,0.25,2,185
56621,Prime Location - Large Private Room,216682,Jay,,Pacific Heights,37.79216,-122.42458,Private room,55,30,122,4/30/2019,1.14,9,236
57561,"Bernal Heights Apartment, Patio + Parking",272890,Theodore,,Bernal Heights,37.7472,-122.41443,Entire home/apt,175,30,214,6/1/2019,2.01,1,336
57676,"Bartlett Gardens: Spacious, bright!",142882,Jessica And Sebouh,,Mission,37.75762,-122.41933,Private room,99,2,117,7/13/2019,1.16,4,1
58185,Quiet Home in the Trees of Forest Knolls,278102,Brooke,,Inner Sunset,37.75504,-122.45871,Entire home/apt,350,2,1,5/19/2019,0.37,1,121
59314,Cute and Cozy Condo near Moscone,284785,Angela,,South of Market,37.77698,-122.41047,Entire home/apt,225,29,129,11/28/2018,1.23,1,364
59344,Private and Quiet Noe Valley Studio,284917,John,,Noe Valley,37.74565,-122.42864,Entire home/apt,135,2,325,8/2/2019,3.08,1,232
59381,Ultra Panoramic View Contemporary,285168,Bill,,Russian Hill,37.8031,-122.41596,Private room,109,2,230,8/4/2019,2.29,4,51
59702,Garden Cottage Charming!,287136,Toby,,Bernal Heights,37.74209,-122.41409,Private room,150,30,192,7/20/2019,1.94,1,324
59831,Lovely quiet private room in Home ,287859,Lawrence,,Outer Sunset,37.75674,-122.49178,Private room,100,60,1,5/23/2011,0.01,1,365
60365,Charming Victorian 3-Bedrms-2Baths + Free Parking!,279544,Emilie,,Western Addition,37.76966,-122.43496,Entire home/apt,349,4,200,7/20/2018,1.91,1,72
62519,Lovely Room in Charming Edwardian,304426,Abhay,,Glen Park,37.74183,-122.42993,Private room,85,2,36,3/8/2019,0.66,2,0
62651,GORGEOUS SAN FRANCISCO HOME,185923,Agnieszka,,Mission,37.76245,-122.42432,Entire home/apt,950,3,54,2/17/2019,0.55,1,340
63247,Lovely open plan en-suite bed/bath,290120,Anne,,Mission,37.74926,-122.41398,Entire home/apt,166,2,349,7/20/2019,3.32,1,317
63405,Private Suite in Mission,142882,Jessica And Sebouh,,Mission,37.754,-122.41771,Entire home/apt,125,2,219,6/30/2019,2.16,4,217
64165,Great room in a fantastic location!,237691,Regina,,Marina,37.80317,-122.42874,Private room,90,30,66,5/11/2019,0.68,1,325
66119,Large garden studio  apt. near Golden Gate Park,52862,Joe,,Inner Richmond,37.77798,-122.47812,Entire home/apt,95,30,97,9/30/2018,0.99,2,0
66188,Spectacular Sutro Heights,127367,Annette,,Outer Richmond,37.77719,-122.50906,Entire home/apt,216,30,12,2/18/2018,0.12,18,332
68239,Beautiful 1bdr apt by Dolores Park in Mission,337833,Philipp,,Mission,37.75426,-122.42387,Entire home/apt,326,31,35,5/31/2018,0.35,1,341
69410,Private 1BR Inner Richmond Apt,347624,Patrick,,Inner Richmond,37.77442,-122.46319,Entire home/apt,80,30,52,4/12/2019,0.52,1,309
69549,MISSION Outr BedRm3+Fridge+PvtBath ,305973,Maria,,Excelsior,37.73027,-122.42644,Private room,46,30,39,6/1/2018,0.38,14,310
69553,MISSION Outr BedRmU3+MinFridge,305973,Maria,,Excelsior,37.73128,-122.42478,Private room,45,30,26,9/1/2017,0.26,14,281
69681,Panorama Pacific View - Pet Friendly,127367,Annette,,Seacliff,37.77707,-122.50923,Entire home/apt,185,30,7,1/14/2018,0.07,18,323
70139,Noe Valley Eco-Escape +Maid Service,354456,Rachel,,Bernal Heights,37.74527,-122.42424,Entire home/apt,108,30,10,8/20/2016,0.11,1,96
70284,Monthly Shared Home for Students 1,329072,Darren & Friends,,Chinatown,37.79364,-122.40635,Shared room,30,30,13,4/23/2019,0.13,20,323
70753,Dorm Bed In Friendly Hostel Community #1,329072,Darren & Friends,,Financial District,37.79447,-122.4045,Shared room,45,1,376,7/21/2019,3.63,20,46
71645,Bernal Heights Northslope Studio,367464,Jeff,,Bernal Heights,37.74578,-122.40841,Private room,109,2,132,8/1/2019,3.16,1,227
71779,ｽﾀｼﾞｵｱﾊﾟｰﾄ,368770,Fukuko,,Inner Richmond,37.77625,-122.46466,Entire home/apt,80,30,2,9/30/2011,0.02,1,355
72365,Cozy loft in the center of SF. F1A,374909,Eric,,Western Addition,37.77518,-122.43334,Entire home/apt,100,30,96,3/16/2019,0.94,12,303
72444,Dorm Bed In Friendly Hostel Community #2,329072,Darren & Friends,,Financial District,37.79309,-122.40443,Shared room,45,1,384,7/20/2019,3.77,20,32
72921,Wonderful private 1 bedroom apt. F6,374909,Eric,,Western Addition,37.77588,-122.43143,Entire home/apt,95,30,52,4/30/2019,0.5,12,269
73011,"Modern SoMa 1-bdrm, views, balcony",380056,Jason,,South of Market,37.77026,-122.41855,Entire home/apt,270,30,30,8/26/2018,0.35,1,363
74451,"""Views of SF from a nice studio F5""",374909,Eric,,Western Addition,37.77388,-122.43298,Entire home/apt,120,30,19,6/1/2019,0.21,12,247
74758, Mission Outr Rustic Pvt Bedroom ,305973,Maria,,Excelsior,37.73137,-122.42532,Private room,45,30,34,10/31/2018,0.33,14,351
75422,Mission Outr CozyBedRm4+Minfridge,305973,Maria,,Excelsior,37.73128,-122.42473,Private room,40,30,9,7/9/2018,0.1,14,365
75423,Mission Outr Big Precious Roomy Room,305973,Maria,,Excelsior,37.73048,-122.42494,Private room,45,30,34,2/18/2019,0.34,14,247
77175,Private Studio w/ Kitchenette &Bath,395569,Tyler&Shoreh,,Glen Park,37.73838,-122.43375,Entire home/apt,135,3,372,7/21/2019,3.66,1,125
77932,"FAB BDRM w/ PrvtBATH, Patio,Fridge",305973,Maria,,Excelsior,37.73134,-122.42457,Private room,57,30,22,5/25/2019,0.24,14,248
78651,Heart of the Mission: Hot spot,142882,Jessica And Sebouh,,Mission,37.75615,-122.41927,Private room,75,2,86,5/27/2019,0.86,4,229
80394,Hideaway in the Haight,126930,Abla,,Haight Ashbury,37.77065,-122.44252,NULL,140,30,20,7/29/2019,0.3,1,135
81158,Sweet 1 br Garden Apartment -  Lewhit Cottage,439589,Brent,,Western Addition,37.78493,-122.44618,Entire home/apt,83,30,14,2/7/2019,0.14,1,285
81256,MISSION Outr BedRM#2 + 2Beds+Fridge,305973,Maria,,Excelsior,37.73152,-122.42547,Private room,45,30,20,12/24/2018,0.2,14,365
82919,"Quiet Room in Victorian House, Parking, City View",451471,Rita,,Bernal Heights,37.7343,-122.42092,Private room,97,2,392,7/25/2019,3.87,2,41
83257,Charming Lower Pac Hts Private Room,453743,Kimberly,,Western Addition,37.78528,-122.44358,Private room,90,1,87,7/10/2019,0.87,1,217
83553,Sutro Garden View,127367,Annette,,Outer Richmond,37.77483,-122.50952,Entire home/apt,85,30,8,5/27/2019,0.08,18,256
84777,Upper Castro Studio,463637,John,,Castro/Upper Market,37.75969,-122.44445,Entire home/apt,85,4,241,7/22/2019,2.4,2,29
87640,"Garden Room/En-suite, Private Entrance",479857,Karin,,Noe Valley,37.7455,-122.42898,Private room,115,2,346,8/3/2019,3.42,1,2
91957,Sunny SF Flat with 5*s,495796,Joy,,Haight Ashbury,37.76194,-122.44929,Entire home/apt,201,30,95,1/1/2019,0.99,1,339
96383,Prime Location Bright Private Room,216682,Jay,,Pacific Heights,37.79176,-122.42476,Private room,59,30,133,7/31/2019,1.33,9,292
99094,Spacious Edwardian Flat SF Mission,522225,Marzio,,Mission,37.76809,-122.42439,Entire home/apt,185,4,20,8/3/2019,15.79,1,0
100710,Stylish Living in Liberty Hill,528857,Jonathan,,Mission,37.75629,-122.42518,Entire home/apt,450,4,11,7/8/2019,0.11,1,121
102951,Monthly Shared Home for Students 2,329072,Darren & Friends,,Chinatown,37.79297,-122.40664,Shared room,30,30,6,4/30/2019,0.07,20,354
105497,Private Room in San Francisco!,547669,Jamie,,Outer Sunset,37.75754,-122.49852,Private room,85,45,3,2/15/2018,0.13,4,354
106025,Gorgeous French Flat near Union Sq.,359813,Annette,,Downtown/Civic Center,37.78535,-122.41515,Entire home/apt,145,30,60,4/23/2019,0.6,1,76
109883,San Francisco Serenity/ lovely home,566147,Adam,,West of Twin Peaks,37.73327,-122.46435,Entire home/apt,125,2,343,7/21/2019,3.46,1,315
110825,Charming Cottage with Bay View,568933,Michael,,Bayview,37.71549,-122.38922,Entire home/apt,120,30,8,3/16/2017,0.08,1,249
113211,Shelli's Student Home (1 Month Min),576273,Shelli,,Chinatown,37.79294,-122.40659,Shared room,30,30,14,9/23/2018,0.16,7,227
114401,Room w/ a View in the Castro!,580606,George,,Castro/Upper Market,37.76102,-122.43005,Private room,125,1,543,7/29/2019,5.44,1,302
115242,Tel Hill-1 Bdr (+sep Queen bed alcove) & Parking,582450,Dawn,,North Beach,37.80591,-122.4083,Entire home/apt,125,30,8,5/27/2019,0.08,1,47
121065,Victorian 1BR/1BA in Castro/Duboce,608445,Hassan,,Western Addition,37.77083,-122.43109,Entire home/apt,200,30,36,7/9/2017,0.41,1,92
126046,SF Victorian With Skyline Views ,625762,Ryan And Lindsea,,Haight Ashbury,37.76813,-122.44494,Entire home/apt,150,30,81,3/16/2019,0.84,2,235
128230,Castro Sanctuary,634277,Maria,,Castro/Upper Market,37.75887,-122.43565,Entire home/apt,328,3,146,8/1/2019,1.47,1,217
130775,Emergency happy room-sink  UCSF/USF-San Francisco,21994,Aaron,,Haight Ashbury,37.76609,-122.45126,Private room,65,32,10,8/6/2017,0.12,9,354
130805,"Hip, Cozy, Creative, Victorian",643713,Sue,,Mission,37.75586,-122.42092,Entire home/apt,97,30,85,5/17/2019,0.86,1,303
132441,Calm Cool & Collected in Sunny Bernal Heights,650862,Kurt,,Bernal Heights,37.73974,-122.42299,Private room,69,1,115,6/29/2019,1.16,1,134
134015,"Marina location, rooftop GGB views+ private deck!",657837,Heidi,,Marina,37.80356,-122.42589,Entire home/apt,275,3,71,7/2/2019,0.72,1,0
134193,Charming Family House near GG Park,658666,Terry,,Inner Richmond,37.7806,-122.47597,Entire home/apt,550,4,18,7/31/2016,0.18,1,0
137129,San Francisco Luxury Summer Rental,639671,Mark,,Inner Richmond,37.7879,-122.46474,Entire home/apt,594,7,0,,,1,39
137546,Bernal Heights Gem near SF Mission,672097,Christopher Scott,,Bernal Heights,37.74708,-122.42456,Private room,102,30,227,7/7/2019,2.52,3,180
138592,Modern Architectural Gem - 4 Bdrm,648553,Julie & Brad,,Mission,37.75558,-122.42474,Entire home/apt,1200,6,26,4/21/2019,0.27,3,78
138619,North Beach View & Garden 1BD/1BA,644896,Matthew,,North Beach,37.79835,-122.4042,Entire home/apt,150,30,67,6/10/2019,0.68,1,341
138772,Garden Studio,261304,Claire,,Castro/Upper Market,37.75823,-122.43273,Private room,150,5,64,7/12/2019,0.65,1,248
140568,Bernal Heights San Francisco Value,684131,Mary,,Bernal Heights,37.73874,-122.41624,Private room,90,2,150,11/16/2018,1.53,3,13
142177,"Stylish, Spacious and Quiet Flat!",656263,Noreen,,Outer Richmond,37.78471,-122.48125,Entire home/apt,399,5,184,6/11/2019,1.94,1,77
144242,"""Lake Street Single Family Home""",699215,Kate,,Presidio Heights,37.78734,-122.46083,Entire home/apt,475,3,17,8/23/2017,0.17,1,116
144978,Prime Location - Small Basic Room,216682,Jay,,Pacific Heights,37.79336,-122.42506,Private room,56,30,118,5/31/2019,1.2,9,315
147443,Best Views in all of San Francisco,709325,Mark,,Diamond Heights,37.74599,-122.44532,Entire home/apt,230,30,108,3/28/2019,1.1,3,331
148559,"Central Victorian Apartment, 2.5 br",717236,Steven,,Castro/Upper Market,37.76787,-122.43172,Entire home/apt,275,5,19,7/30/2018,0.19,1,0
148627,Romantic Marina Garden Studio,709325,Mark,,Marina,37.80094,-122.4275,Entire home/apt,165,60,109,5/5/2018,1.16,3,0
148769,Ground Floor Studio with Garage Parking,709325,Mark,,Twin Peaks,37.75195,-122.44928,Entire home/apt,115,30,90,7/28/2019,1.86,3,0
150053,1600 sqft Luxury Apartment,723220,Helena,,South of Market,37.7876,-122.39222,Entire home/apt,600,30,13,5/31/2019,0.14,5,344
150347,Cute Private 2Br Apt in the Mission,172182,Brian & Leah,,Mission,37.76202,-122.41876,Entire home/apt,179,30,118,6/8/2019,1.2,2,321
150848,SF Urban Haven & Secret Garden,726513,Nancy,,Potrero Hill,37.762,-122.39391,Private room,75,3,220,7/23/2019,2.28,1,92
162934,Designer remodeled studio,778281,Noelle,,Outer Richmond,37.77761,-122.50378,Entire home/apt,149,3,227,7/26/2019,2.31,2,314
164207,"Quiet area by subway, private bath",783438,Phil,,West of Twin Peaks,37.74159,-122.46578,Private room,69,4,346,7/17/2019,3.52,3,127
166199,Castro Cottage w/ Secret Garden,792371,Matt,,Castro/Upper Market,37.76194,-122.43239,Entire home/apt,220,30,159,7/8/2019,1.64,1,57
166771,DOWNEY STREET - Victorian Flat,794467,Patti,,Haight Ashbury,37.76827,-122.44678,Entire home/apt,185,30,153,7/8/2019,1.58,1,34
174679,Comfy room in large sunny flat in the Mission,834580,Christopher,,Mission,37.75452,-122.40716,Private room,80,3,27,7/10/2019,0.28,1,24
175090,FINANCIAL DIST: Gino's Cozy Getaway,127367,Annette,,Financial District,37.79018,-122.40475,Entire home/apt,110,30,24,7/1/2015,0.25,18,253
175102,FIN. DIST: Mario's Studio Penthouse,127367,Annette,,Financial District,37.79076,-122.40403,Entire home/apt,135,30,49,9/30/2018,0.51,18,340
176274,Mission Outr PvtBDRm2D& minifridge,305973,Maria,,Excelsior,37.73143,-122.42325,Private room,55,30,10,4/2/2019,0.1,14,365
177137,Grant Avenue Apartment,817292,Rick,,Chinatown,37.79675,-122.40781,Entire home/apt,135,30,62,5/16/2019,0.64,2,263
183334,2 bedroom Bernal Heights Condo - FABULOUS views!,18732,Cecilia,,Bernal Heights,37.74531,-122.41122,Entire home/apt,225,14,6,7/28/2017,0.06,2,29
183859,"Family-Friendly Flat In San Francisco, CA. USA",882283,Stephen,,Glen Park,37.73626,-122.43677,Entire home/apt,220,3,225,8/1/2019,2.57,1,275
187730,Bohemian Rhapsody in the Mission,142882,Jessica And Sebouh,,Mission,37.75757,-122.41939,Private room,75,3,126,7/7/2019,1.3,4,226
189068,Bernal Heights Live Like a Local,684131,Mary,,Bernal Heights,37.73856,-122.41687,Private room,90,2,168,6/19/2019,1.73,3,17
189894,SF  PRIME MARINA LOCATION RENTAL,916362,Jacqueline,,Marina,37.80318,-122.42977,Entire home/apt,150,5,36,4/12/2019,0.43,1,30
191632,Private Entrance Garden Studio,583207,Maria,,Haight Ashbury,37.77311,-122.44979,Entire home/apt,138,2,450,7/29/2019,4.63,1,193
199480,One room overlooking Precita Park,974441,Peter,,Bernal Heights,37.74557,-122.41187,Private room,80,2,193,7/14/2019,1.99,1,0
201313,Fully Furnished 1 bedroom apartment,984585,Robb,,North Beach,37.8034,-122.40485,Entire home/apt,182,30,2,8/22/2018,0.13,1,283
201579,Renovated Historic Home,986510,Eric,,Western Addition,37.77756,-122.43326,Entire home/apt,136,30,213,5/18/2019,2.21,1,186
206566,Monthly Shared Home for Students 3,329072,Darren & Friends,,Chinatown,37.79507,-122.40498,Shared room,30,30,9,9/5/2018,0.12,20,311
206634,Monthly Shared Home for Students 4,329072,Darren & Friends,,Chinatown,37.79466,-122.40523,Shared room,30,30,6,5/11/2019,0.06,20,232
206637,Monthly Shared Home for Students 5,329072,Darren & Friends,,Chinatown,37.79291,-122.40637,Shared room,30,30,3,6/30/2017,0.04,20,344
207980,"3 Bdrm City View Home w/Parking, deck,",1023546,Bruce,,Noe Valley,37.74446,-122.43776,Entire home/apt,295,2,364,8/2/2019,3.79,1,186
208727,"Full Floor Flat, Priv.Bath Mid-Richmond,",519598,Robert,,Outer Richmond,37.78265,-122.48971,Private room,85,30,28,9/10/2018,0.32,2,158
208831,Virtually Your Own Apt in Nth Beach,1028577,Peter,,Russian Hill,37.80242,-122.4144,Entire home/apt,165,3,456,8/1/2019,4.76,1,91
209514,Haight Ashbury Experience Room 2,1032643,Josh,,Haight Ashbury,37.77118,-122.44963,Private room,92,1,439,8/2/2019,4.56,5,315
212265,"Sunny Condo in the Mission, San Francisco",1094844,Cynthia & Donald,,Mission,37.75551,-122.40882,Entire home/apt,178,5,11,4/29/2019,1.25,1,0
212783,Haight Ashbury Experience Room 1,1032643,Josh,,Haight Ashbury,37.77108,-122.44942,Private room,98,1,413,8/4/2019,4.29,5,313
213532,Haight Ashbury Experience Room 4,1032643,Josh,,Haight Ashbury,37.77085,-122.44811,Private room,78,1,456,7/31/2019,4.75,5,302
213854,Victorian Flat,1103149,Lex,,Castro/Upper Market,37.76146,-122.43817,Entire home/apt,325,30,38,6/24/2019,0.4,1,162
216042,"""Bernal Heights Views Garden Hottub""",1115353,Jocelyn,,Bernal Heights,37.74382,-122.41773,Entire home/apt,147,5,49,10/9/2018,0.51,1,202
216064,AUMVersity Subodhi Room,812808,Mukt,,Outer Mission,37.72652,-122.43468,Private room,75,2,90,8/4/2019,8.85,2,0
