neighbourhood,room_type,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Western Addition,Entire home/apt,37.78558,-122.44414,210,30,142,2.03,2,338
Outer Mission,Private room,37.73403,-122.44662,60,30,7,0.14,3,235
Outer Sunset,Private room,37.7573,-122.48483,47,30,38,0.53,2,0
Pacific Heights,Entire home/apt,37.79006,-122.43236,150,30,126,1.73,2,278
Western Addition,Entire home/apt,37.77146,-122.43648,155,30,12,0.2,1,249
Mission,Entire home/apt,37.75084,-122.42341,145,2,287,4.06,1,4
South of Market,Private room,37.77782,-122.40406,159,2,180,2.97,3,186
Marina,Entire home/apt,37.79918,-122.43884,329,30,55,1.06,2,153
Mission,Entire home/apt,37.75526,-122.42497,125,30,42,0.58,1,217
West of Twin Peaks,Private room,37.73313,-122.46054,139,3,222,3.03,2,131
Inner Sunset,Private room,37.75238,-122.45867,99,1,580,7.95,3,44
Bernal Heights,Entire home/apt,37.74727,-122.41517,250,5,15,0.21,1,0
Outer Richmond,Entire home/apt,37.77363,-122.49017,350,6,7,0.19,1,0
Potrero Hill,Entire home/apt,37.76244,-122.3946,500,2,70,0.96,2,286
Castro/Upper Market,Entire home/apt,37.76361,-122.43063,160,30,197,2.7,1,0
Castro/Upper Market,Shared room,37.76433,-122.43664,75,1,321,4.39,4,96
South of Market,Entire home/apt,37.77687,-122.40916,185,30,57,0.78,3,295
Mission,Entire home/apt,37.77009,-122.42341,246,2,170,2.34,3,111
Castro/Upper Market,Entire home/apt,37.7665,-122.43606,135,3,425,6.34,1,101
West of Twin Peaks,Private room,37.73313,-122.46093,137,3,178,2.45,2,158
Castro/Upper Market,Private room,37.76033,-122.43893,89,30,21,0.31,3,309
Mission,Entire home/apt,37.76054,-122.40961,142,30,13,0.18,40,0
Marina,Entire home/apt,37.80375,-122.44672,469,3,5,0.07,1,28
Castro/Upper Market,Entire home/apt,37.75867,-122.43454,175,30,130,1.84,1,218
Noe Valley,Entire home/apt,37.74645,-122.43336,490,3,96,1.32,1,33
Castro/Upper Market,Private room,37.76494,-122.43385,150,3,128,1.76,2,323
Inner Sunset,Private room,37.76409,-122.45292,165,2,100,1.44,1,278
Noe Valley,Private room,37.74703,-122.43494,274,3,78,1.07,2,79
Downtown/Civic Center,Entire home/apt,37.77703,-122.42055,148,30,19,0.27,26,346
Haight Ashbury,Entire home/apt,37.76906,-122.44509,157,30,7,0.19,7,308
Bayview,Private room,37.73404,-122.39215,60,30,61,0.86,3,365
Bernal Heights,Entire home/apt,37.74504,-122.40614,259,4,51,0.75,4,190
Western Addition,Entire home/apt,37.77895,-122.43634,575,3,52,0.73,2,0
Inner Richmond,Entire home/apt,37.77878,-122.46257,170,2,194,2.66,1,287
Financial District,Entire home/apt,37.787,-122.3971,173,30,3,0.06,11,365
Western Addition,Entire home/apt,37.78718,-122.44315,89,30,24,0.35,1,228
Crocker Amazon,Entire home/apt,37.71099,-122.43569,88,3,163,4.39,1,46
Western Addition,Private room,37.77042,-122.42856,125,3,407,5.63,1,252
Downtown/Civic Center,Private room,37.78712,-122.4096,175,1,101,1.38,29,0
Outer Richmond,Private room,37.7719,-122.50372,85,2,225,4.63,1,30
Western Addition,Entire home/apt,37.77267,-122.43053,258,30,48,0.66,2,300
Haight Ashbury,Entire home/apt,37.76785,-122.44902,265,3,172,2.51,1,233
Marina,Entire home/apt,37.79899,-122.4316,345,30,49,0.68,1,153
Downtown/Civic Center,Private room,37.78839,-122.40937,179,2,65,0.91,29,0
Downtown/Civic Center,Entire home/apt,37.77795,-122.42178,250,30,146,2.06,1,235
Bernal Heights,Entire home/apt,37.74669,-122.40586,167,2,299,4.1,1,320
Western Addition,Entire home/apt,37.77736,-122.4361,300,2,42,0.58,2,127
Mission,Private room,37.75102,-122.41193,100,1,156,3.18,1,5
Noe Valley,Entire home/apt,37.75078,-122.43126,170,30,26,0.36,1,342
Western Addition,Entire home/apt,37.77366,-122.43091,249,30,23,0.36,2,345
Bayview,Entire home/apt,37.73853,-122.39,337,3,65,0.99,2,358
Mission,Entire home/apt,37.74994,-122.41644,300,3,26,0.36,2,7
Haight Ashbury,Private room,37.77595,-122.43971,185,1,12,0.2,2,126
Outer Mission,Entire home/apt,37.72447,-122.44162,250,5,24,0.35,4,2
Marina,Entire home/apt,37.79952,-122.42821,499,1,110,1.54,1,343
Outer Mission,Entire home/apt,37.72857,-122.45215,150,3,263,3.73,1,140
Mission,Private room,37.76346,-122.425,145,2,340,4.71,1,114
Western Addition,Entire home/apt,37.77712,-122.44215,250,2,30,0.42,1,27
Potrero Hill,Entire home/apt,37.76055,-122.40402,250,2,159,2.2,1,290
Western Addition,Entire home/apt,37.77882,-122.44229,149,30,57,0.8,1,0
Bernal Heights,Entire home/apt,37.74509,-122.41611,165,30,58,0.81,1,64
Pacific Heights,Entire home/apt,37.78779,-122.44393,210,30,196,2.73,1,330
Bernal Heights,Private room,37.74693,-122.41684,125,1,132,1.83,1,313
Nob Hill,Entire home/apt,37.79589,-122.41145,145,30,24,0.36,1,268
Western Addition,Entire home/apt,37.77281,-122.43174,235,30,104,1.43,1,216
Haight Ashbury,Entire home/apt,37.7697,-122.44483,148,30,7,0.1,7,349
Castro/Upper Market,Entire home/apt,37.75767,-122.42812,350,2,76,1.06,1,129
South of Market,Entire home/apt,37.77223,-122.41942,130,30,38,0.56,5,315
Western Addition,Entire home/apt,37.78036,-122.4241,100,30,31,0.45,5,361
Mission,Entire home/apt,37.75242,-122.41957,199,5,148,2.05,1,44
Outer Richmond,Entire home/apt,37.77373,-122.49964,145,2,361,5.69,1,156
South of Market,Entire home/apt,37.77384,-122.41909,150,30,3,0.41,1,121
Haight Ashbury,Entire home/apt,37.76928,-122.45346,700,30,70,0.97,1,0
Potrero Hill,Entire home/apt,37.75858,-122.40152,209,31,412,6.19,1,346
Bernal Heights,Entire home/apt,37.73751,-122.41329,485,4,6,0.11,1,13
Mission,Entire home/apt,37.76663,-122.4202,395,30,128,1.77,1,294
Mission,Entire home/apt,37.75796,-122.41903,180,6,82,1.14,1,251
Castro/Upper Market,Entire home/apt,37.75909,-122.42895,120,30,40,0.56,1,298
Bernal Heights,Entire home/apt,37.74387,-122.42338,350,30,10,0.14,1,0
Nob Hill,Entire home/apt,37.79194,-122.41549,225,31,0,0,2,365
Western Addition,Entire home/apt,37.77015,-122.42929,220,7,34,0.47,1,0
Haight Ashbury,Private room,37.76551,-122.44946,89,2,144,2.15,1,122
Western Addition,Entire home/apt,37.77629,-122.42621,120,30,41,0.59,5,333
Downtown/Civic Center,Private room,37.78759,-122.40905,169,2,55,0.77,29,0
Western Addition,Private room,37.78045,-122.44541,295,1,76,1.06,2,362
Western Addition,Private room,37.78009,-122.43865,99,2,213,3.91,2,257
Outer Sunset,Private room,37.75578,-122.49834,85,1,128,1.79,4,1
Western Addition,Private room,37.78763,-122.43946,195,2,50,0.7,2,31
Downtown/Civic Center,Private room,37.78778,-122.40983,175,1,69,0.96,29,0
Mission,Entire home/apt,37.75017,-122.42487,200,3,138,1.97,1,44
Mission,Private room,37.75942,-122.40754,150,3,222,3.16,1,176
Downtown/Civic Center,Private room,37.78776,-122.40979,169,2,48,0.68,29,0
Nob Hill,Private room,37.79673,-122.41191,166,30,40,0.61,4,357
South of Market,Entire home/apt,37.77958,-122.39743,200,30,25,0.35,1,334
Downtown/Civic Center,Private room,37.78915,-122.40962,169,1,55,0.77,29,0
Excelsior,Entire home/apt,37.73101,-122.4229,139,3,55,1.52,1,56
Excelsior,Private room,37.72571,-122.41814,65,1,206,5,4,35
Excelsior,Private room,37.72545,-122.41889,61,1,106,1.5,4,17
Mission,Entire home/apt,37.75429,-122.41033,118,2,6,1.3,1,19
Haight Ashbury,Private room,37.77015,-122.45353,139,2,84,1.18,1,293
West of Twin Peaks,Entire home/apt,37.73932,-122.46211,225,3,73,1.03,2,278
Ocean View,Private room,37.71574,-122.46486,29,180,8,0.11,1,296
Western Addition,Private room,37.78482,-122.44136,230,2,52,0.74,2,108
Mission,Private room,37.75292,-122.4232,539,4,109,1.53,1,14
Outer Richmond,Entire home/apt,37.78,-122.48253,150,3,189,3.28,1,220
Potrero Hill,Private room,37.76183,-122.39312,95,1,182,2.58,1,29
Excelsior,Entire home/apt,37.72662,-122.41934,334,30,95,1.79,1,353
Castro/Upper Market,Entire home/apt,37.75869,-122.4268,525,30,144,2.04,1,341
Castro/Upper Market,Entire home/apt,37.7586,-122.44305,141,30,2,0.03,7,358
Western Addition,Private room,37.78432,-122.44062,65,30,1,0.58,1,63
Marina,Entire home/apt,37.8028,-122.44078,285,3,11,0.16,1,225
Downtown/Civic Center,Private room,37.7884,-122.40931,179,1,45,0.64,29,0
Inner Richmond,Entire home/apt,37.78455,-122.4752,190,1,70,0.99,2,2
Western Addition,Entire home/apt,37.77669,-122.43661,155,30,83,1.17,6,154
Western Addition,Entire home/apt,37.77722,-122.43656,1000,30,127,1.8,6,353
Mission,Private room,37.75154,-122.42038,115,2,193,2.7,1,285
Bernal Heights,Private room,37.7455,-122.41509,65,59,0,0,2,337
Haight Ashbury,Entire home/apt,37.76813,-122.44629,418,2,22,0.36,1,28
Twin Peaks,Entire home/apt,37.7586,-122.45049,373,3,261,3.66,1,137
South of Market,Entire home/apt,37.78899,-122.38933,325,30,27,0.38,1,340
Outer Sunset,Entire home/apt,37.74733,-122.48952,133,2,358,5.04,1,264
Western Addition,Entire home/apt,37.78629,-122.4331,750,6,5,0.11,2,0
Mission,Entire home/apt,37.75725,-122.41004,290,4,18,0.3,2,7
Western Addition,Entire home/apt,37.77358,-122.42806,180,1,451,6.36,2,129
Noe Valley,Entire home/apt,37.75538,-122.42655,165,30,102,1.45,1,365
Haight Ashbury,Private room,37.77397,-122.44226,90,1,121,2.47,4,11
Inner Sunset,Private room,37.75816,-122.46278,60,30,10,0.38,1,0
Potrero Hill,Private room,37.7572,-122.3926,115,2,121,1.95,1,126
Bernal Heights,Entire home/apt,37.74077,-122.41134,155,2,107,5.77,1,134
Marina,Entire home/apt,37.80147,-122.43275,215,60,15,0.21,2,365
Potrero Hill,Entire home/apt,37.76492,-122.39722,215,2,196,2.85,1,137
Western Addition,Entire home/apt,37.77832,-122.43079,175,3,84,1.82,1,0
Haight Ashbury,Entire home/apt,37.76357,-122.44581,160,30,37,0.52,2,217
Pacific Heights,Entire home/apt,37.79293,-122.43494,200,30,0,0,2,350
Western Addition,Private room,37.7796,-122.44199,109,4,225,3.2,3,31
Mission,Entire home/apt,37.75565,-122.4241,418,3,93,1.31,1,72
Castro/Upper Market,Entire home/apt,37.757,-122.42688,1450,6,9,0.23,3,40
Outer Richmond,Entire home/apt,37.77499,-122.48907,133,1,94,6.73,1,75
West of Twin Peaks,Private room,37.73401,-122.46475,55,2,189,2.68,5,340
Noe Valley,Private room,37.75288,-122.42817,165,1,84,1.26,3,285
Mission,Private room,37.75008,-122.41841,170,5,25,0.45,2,2
South of Market,Entire home/apt,37.77913,-122.40464,170,30,103,1.47,1,115
Western Addition,Entire home/apt,37.77333,-122.4322,285,3,83,1.18,1,200
Mission,Entire home/apt,37.7511,-122.42414,150,30,13,0.19,1,87
Noe Valley,Entire home/apt,37.75045,-122.42785,250,2,257,3.68,1,280
Pacific Heights,Entire home/apt,37.79059,-122.43884,150,30,16,0.25,1,252
Castro/Upper Market,Private room,37.76465,-122.43637,70,1,173,2.76,4,19
Mission,Entire home/apt,37.76949,-122.42543,225,31,1,0.01,1,278
Western Addition,Private room,37.77794,-122.44512,115,30,202,2.89,3,2
Inner Richmond,Entire home/apt,37.77845,-122.46893,135,3,271,4.01,2,182
Castro/Upper Market,Entire home/apt,37.76448,-122.42924,135,30,18,0.29,11,315
Western Addition,Private room,37.77693,-122.43739,60,30,8,0.12,14,333
Potrero Hill,Entire home/apt,37.76165,-122.40442,110,30,95,1.42,1,59
Inner Richmond,Entire home/apt,37.77527,-122.45475,128,5,102,1.47,1,202
Potrero Hill,Entire home/apt,37.76458,-122.39335,190,2,305,4.39,1,283
Diamond Heights,Entire home/apt,37.73564,-122.44085,600,3,60,0.95,1,78
South of Market,Entire home/apt,37.77814,-122.3977,220,30,8,0.27,4,318
Mission,Private room,37.76724,-122.42129,79,3,101,1.53,3,1
Mission,Private room,37.76909,-122.42171,75,3,62,0.93,3,0
Western Addition,Entire home/apt,37.77657,-122.42883,145,30,142,2.05,1,185
Western Addition,Entire home/apt,37.77775,-122.43321,94,30,30,0.43,40,346
Pacific Heights,Entire home/apt,37.78927,-122.43407,995,3,79,1.14,1,1
Mission,Entire home/apt,37.75174,-122.41334,250,70,7,0.1,2,0
Castro/Upper Market,Entire home/apt,37.75822,-122.4281,295,30,4,0.06,1,365
Mission,Private room,37.75986,-122.42215,80,3,39,2.95,1,13
Haight Ashbury,Entire home/apt,37.76827,-122.44506,157,30,4,0.08,7,349
Western Addition,Entire home/apt,37.77647,-122.43096,300,30,47,0.7,2,311
Bayview,Entire home/apt,37.71875,-122.39548,131,30,13,0.22,1,319
Noe Valley,Entire home/apt,37.7445,-122.42718,228,30,98,1.42,1,63
Noe Valley,Entire home/apt,37.75206,-122.43009,900,4,22,0.35,1,0
Potrero Hill,Entire home/apt,37.75524,-122.39736,309,4,20,0.31,1,4
Western Addition,Entire home/apt,37.78637,-122.43793,450,1,146,2.1,1,39
Mission,Entire home/apt,37.76431,-122.42448,299,3,8,0.32,1,0
South of Market,Private room,37.7883,-122.39151,96,30,33,0.48,2,6
Western Addition,Entire home/apt,37.78017,-122.43771,156,30,116,1.71,2,146
Haight Ashbury,Entire home/apt,37.7757,-122.43847,125,30,323,4.7,1,365
Inner Sunset,Private room,37.75389,-122.45802,120,1,583,8.39,3,40
Visitacion Valley,Private room,37.72198,-122.40758,100,2,121,3.52,1,333
Financial District,Entire home/apt,37.79723,-122.40113,180,30,36,0.57,1,254
Excelsior,Entire home/apt,37.72248,-122.42779,80,2,179,2.73,1,214
Pacific Heights,Entire home/apt,37.79188,-122.43205,350,30,65,0.94,1,203
Mission,Private room,37.76118,-122.41911,150,1,168,2.54,1,31
Mission,Private room,37.75168,-122.41979,135,2,107,1.94,1,128
Inner Sunset,Entire home/apt,37.75562,-122.46805,90,2,121,1.8,1,291
Russian Hill,Private room,37.80426,-122.41665,3500,90,31,0.47,1,359
Mission,Private room,37.7577,-122.40841,160,3,19,0.28,2,0
Mission,Private room,37.74866,-122.41119,100,3,83,2.69,3,0
Mission,Entire home/apt,37.76429,-122.41276,169,2,200,2.94,1,275
Haight Ashbury,Private room,37.76907,-122.43755,150,3,63,1.05,2,342
Castro/Upper Market,Private room,37.76359,-122.43455,165,3,81,1.19,1,10
Bernal Heights,Private room,37.73998,-122.41271,95,2,99,2.12,1,321
Mission,Entire home/apt,37.75114,-122.40786,339,5,45,0.9,2,35
Bernal Heights,Entire home/apt,37.74004,-122.42084,104,30,24,0.35,5,306
Haight Ashbury,Entire home/apt,37.77191,-122.43918,325,2,105,1.54,2,95
Financial District,Private room,37.78922,-122.40083,140,30,10,0.15,1,37
South of Market,Entire home/apt,37.78823,-122.38986,157,30,14,0.29,2,159
Outer Sunset,Entire home/apt,37.76261,-122.50146,125,30,295,4.3,1,362
Bernal Heights,Private room,37.73939,-122.41636,140,3,174,2.54,1,106
Haight Ashbury,Private room,37.77272,-122.43973,102,1,273,3.97,1,317
Noe Valley,Private room,37.75619,-122.42881,132,2,322,4.69,1,269
Mission,Private room,37.75994,-122.42138,297,2,480,6.96,2,0
Outer Mission,Private room,37.72441,-122.43517,69,2,362,5.31,4,309
Bernal Heights,Entire home/apt,37.74001,-122.42219,259,30,5,0.1,5,365
South of Market,Entire home/apt,37.78019,-122.40601,600,4,26,0.38,1,0
Mission,Entire home/apt,37.74967,-122.41103,160,3,23,0.38,1,0
Outer Sunset,Private room,37.74575,-122.50032,84,1,294,4.38,1,203
Mission,Entire home/apt,37.76953,-122.42178,197,4,45,0.67,1,83
Potrero Hill,Entire home/apt,37.75516,-122.38867,800,3,18,0.26,1,137
Inner Richmond,Entire home/apt,37.78342,-122.46941,450,3,4,0.07,2,8
Haight Ashbury,Entire home/apt,37.774,-122.45309,550,5,133,1.98,1,265
Outer Mission,Private room,37.73285,-122.44235,119,2,268,4.02,1,320
Haight Ashbury,Entire home/apt,37.76913,-122.4456,375,7,40,0.71,2,0
Outer Mission,Private room,37.72483,-122.43609,69,2,352,5.12,4,306
Mission,Entire home/apt,37.76046,-122.41904,149,5,135,2.07,1,290
Outer Mission,Private room,37.72491,-122.43516,69,2,371,5.44,4,307
Mission,Entire home/apt,37.7625,-122.4226,575,5,22,0.36,1,2
Inner Richmond,Entire home/apt,37.77821,-122.46114,225,3,168,2.47,4,84
Downtown/Civic Center,Entire home/apt,37.78172,-122.4214,82,60,0,0,1,0
Mission,Private room,37.76162,-122.42394,100,30,82,1.19,1,278
Mission,Private room,37.7485,-122.41961,85,5,121,1.79,3,331
Outer Mission,Entire home/apt,37.73231,-122.43509,195,6,20,0.29,1,164
Potrero Hill,Entire home/apt,37.76386,-122.39609,160,30,27,0.41,1,0
Haight Ashbury,Private room,37.76587,-122.44329,86,30,13,0.2,1,332
Western Addition,Entire home/apt,37.78806,-122.43091,135,30,33,0.48,3,32
Mission,Entire home/apt,37.76495,-122.42058,90,30,173,2.56,1,235
Western Addition,Entire home/apt,37.77819,-122.43969,133,30,118,1.72,4,354
Western Addition,Private room,37.77352,-122.43444,65,3,41,0.74,2,0
Outer Mission,Private room,37.72478,-122.43609,69,2,344,5.05,4,302
Ocean View,Private room,37.72218,-122.47012,65,30,51,0.76,2,261
Glen Park,Entire home/apt,37.73508,-122.43949,228,5,44,0.68,1,30
Nob Hill,Private room,37.7955,-122.41106,120,30,43,0.82,4,361
Castro/Upper Market,Private room,37.76835,-122.43373,95,30,94,1.38,1,311
Downtown/Civic Center,Entire home/apt,37.78093,-122.42007,150,30,94,1.38,4,335
Noe Valley,Private room,37.74372,-122.42757,100,30,43,0.66,1,75
Outer Richmond,Entire home/apt,37.77622,-122.50906,176,2,220,4.49,2,5
Ocean View,Entire home/apt,37.71847,-122.45181,130,1,335,4.98,1,90
Inner Richmond,Private room,37.77373,-122.46313,125,2,185,2.83,5,345
Potrero Hill,Entire home/apt,37.7591,-122.39731,120,30,105,1.6,2,292
West of Twin Peaks,Private room,37.73377,-122.46429,47,2,216,3.19,5,334
Western Addition,Entire home/apt,37.77005,-122.43025,350,2,20,0.3,1,0
Marina,Private room,37.79907,-122.44584,150,2,369,5.49,1,300
Excelsior,Private room,37.73082,-122.42126,39,30,8,0.13,6,113
West of Twin Peaks,Private room,37.72925,-122.45896,195,5,131,2.13,1,300
Nob Hill,Entire home/apt,37.79295,-122.41663,150,30,27,0.41,1,255
West of Twin Peaks,Entire home/apt,37.73644,-122.45666,450,3,19,0.29,1,328
Outer Mission,Private room,37.72685,-122.43873,90,2,288,4.36,1,314
Haight Ashbury,Entire home/apt,37.76688,-122.44646,198,30,143,2.12,1,70
Western Addition,Entire home/apt,37.78353,-122.44519,97,30,57,0.91,1,313
Pacific Heights,Entire home/apt,37.78995,-122.43541,462,2,97,1.48,1,201
Bernal Heights,Entire home/apt,37.74682,-122.40566,150,1,105,1.81,1,301
Castro/Upper Market,Private room,37.75791,-122.44273,120,3,32,0.65,1,57
Bernal Heights,Private room,37.74128,-122.42155,105,2,387,5.79,1,294
South of Market,Entire home/apt,37.78789,-122.38948,160,30,1,0.02,11,264
South of Market,Entire home/apt,37.78826,-122.39156,175,30,4,0.09,11,184
South of Market,Entire home/apt,37.78726,-122.39068,140,30,1,0.04,11,79
Mission,Entire home/apt,37.7612,-122.40735,449,3,25,0.37,1,0
Western Addition,Entire home/apt,37.7704,-122.43469,112,30,5,0.08,4,65
Mission,Private room,37.76456,-122.41383,101,30,257,3.83,1,30
Marina,Entire home/apt,37.80387,-122.42942,220,30,28,0.42,3,278
Castro/Upper Market,Entire home/apt,37.76243,-122.4308,900,4,10,0.15,2,0
Western Addition,Entire home/apt,37.77715,-122.44182,399,2,36,0.54,1,62
Inner Richmond,Private room,37.77981,-122.46841,65,1,337,5,1,291
North Beach,Entire home/apt,37.80325,-122.40438,179,30,1,0.03,11,347
Western Addition,Private room,37.77342,-122.43566,129,2,195,4.59,1,19
West of Twin Peaks,Private room,37.7331,-122.45736,500,2,0,0,1,89
Russian Hill,Private room,37.7981,-122.41551,225,31,9,0.14,1,87
Outer Sunset,Entire home/apt,37.74663,-122.50487,175,4,90,2.01,1,117
Bernal Heights,Entire home/apt,37.73728,-122.4157,110,2,169,2.67,1,0
Marina,Entire home/apt,37.80152,-122.43113,195,30,26,0.39,3,326
Bayview,Entire home/apt,37.71178,-122.38762,130,90,13,0.2,1,365
North Beach,Entire home/apt,37.80093,-122.40482,140,30,93,1.37,2,337
Inner Sunset,Entire home/apt,37.75859,-122.4682,279,31,40,0.62,1,217
North Beach,Entire home/apt,37.79934,-122.4049,105,30,95,1.41,2,360
Outer Richmond,Entire home/apt,37.77495,-122.50921,398,1,42,0.65,2,12
Pacific Heights,Entire home/apt,37.79324,-122.43398,500,4,38,0.76,2,93
Bayview,Private room,37.73583,-122.38737,99,2,127,4.4,3,52
Haight Ashbury,Entire home/apt,37.77422,-122.44628,500,3,171,2.56,1,241
Outer Mission,Entire home/apt,37.72685,-122.43739,137,2,238,3.59,1,39
Mission,Private room,37.75018,-122.40468,99,3,100,1.5,2,323
Downtown/Civic Center,Private room,37.7878,-122.40978,219,1,13,0.2,5,1
Mission,Private room,37.76928,-122.42342,85,31,16,0.84,2,92
Marina,Private room,37.79819,-122.44256,200,1,44,0.76,2,130
Western Addition,Entire home/apt,37.77662,-122.42414,105,30,21,0.32,5,329
Outer Sunset,Entire home/apt,37.76282,-122.48172,105,30,50,0.81,1,97
Western Addition,Entire home/apt,37.77931,-122.43595,350,30,85,1.53,2,165
Inner Richmond,Private room,37.77349,-122.46607,350,2,3,0.05,5,363
South of Market,Entire home/apt,37.78042,-122.39732,149,30,20,0.3,1,354
Bernal Heights,Entire home/apt,37.74552,-122.41195,250,2,5,0.4,1,8
Marina,Entire home/apt,37.79953,-122.44663,93,30,5,0.08,3,360
Western Addition,Private room,37.78629,-122.4457,145,3,295,4.47,1,282
Seacliff,Entire home/apt,37.77912,-122.51306,139,30,128,1.95,5,349
Inner Richmond,Entire home/apt,37.78,-122.45466,220,30,30,0.45,7,364
Downtown/Civic Center,Entire home/apt,37.78885,-122.41139,155,30,1,0.02,1,337
Potrero Hill,Private room,37.75935,-122.39867,130,2,226,3.86,2,143
Potrero Hill,Entire home/apt,37.76217,-122.39543,280,4,76,1.17,2,350
Bernal Heights,Entire home/apt,37.73352,-122.41706,125,2,240,3.66,1,278
Western Addition,Entire home/apt,37.7792,-122.44584,185,3,68,1.02,1,0
Nob Hill,Entire home/apt,37.79403,-122.41513,375,30,23,0.36,4,354
Inner Sunset,Private room,37.76298,-122.46185,99,2,182,2.77,1,13
West of Twin Peaks,Entire home/apt,37.73548,-122.4471,1950,3,10,0.16,1,10
Glen Park,Entire home/apt,37.73884,-122.42561,113,30,16,0.25,1,276
West of Twin Peaks,Private room,37.72643,-122.46175,80,3,79,1.21,1,283
Castro/Upper Market,Entire home/apt,37.76566,-122.43399,136,30,56,0.85,2,248
Outer Richmond,Entire home/apt,37.77915,-122.47857,125,3,319,5.02,1,236
Outer Richmond,Entire home/apt,37.77424,-122.50167,306,2,88,1.86,2,89
Golden Gate Park,Entire home/apt,37.77026,-122.49901,889,2,50,1.14,2,86
Noe Valley,Private room,37.74802,-122.43521,89,30,12,0.19,1,87
Noe Valley,Entire home/apt,37.74869,-122.43213,220,30,36,0.96,2,339
Castro/Upper Market,Entire home/apt,37.76609,-122.43509,143,4,29,3.99,2,157
South of Market,Entire home/apt,37.78877,-122.39012,179,30,1,0.02,25,362
Ocean View,Private room,37.72776,-122.47043,60,30,50,0.76,2,233
Outer Mission,Private room,37.73227,-122.4482,80,30,22,0.35,3,330
Bernal Heights,Entire home/apt,37.74176,-122.41803,325,2,57,0.88,1,1
Inner Richmond,Entire home/apt,37.78502,-122.4653,295,30,190,2.87,1,313
South of Market,Entire home/apt,37.78289,-122.39365,150,30,40,0.62,1,347
Parkside,Entire home/apt,37.73811,-122.47358,99,30,17,0.27,1,225
Downtown/Civic Center,Private room,37.78716,-122.40983,219,1,13,0.22,5,0
Western Addition,Entire home/apt,37.77549,-122.43,200,30,6,0.09,1,365
Castro/Upper Market,Private room,37.76223,-122.43281,200,2,214,3.36,2,0
Outer Richmond,Entire home/apt,37.78628,-122.4823,700,5,1,1,1,3
Downtown/Civic Center,Private room,37.78897,-122.40927,219,1,7,0.11,5,0
Noe Valley,Private room,37.74497,-122.42876,80,3,44,0.71,1,306
Western Addition,Private room,37.77689,-122.43988,95,1,123,1.94,2,296
Noe Valley,Entire home/apt,37.75338,-122.43592,279,3,120,1.89,1,305
South of Market,Shared room,37.7784,-122.40871,200,30,93,1.51,1,364
Bernal Heights,Entire home/apt,37.73291,-122.42569,140,31,64,0.98,4,256
Excelsior,Entire home/apt,37.72841,-122.42314,185,3,215,3.75,1,252
Castro/Upper Market,Entire home/apt,37.76538,-122.42824,125,30,4,0.06,1,186
Western Addition,Entire home/apt,37.78295,-122.44476,333,30,20,0.33,2,218
Bernal Heights,Entire home/apt,37.73867,-122.41255,265,30,4,0.07,2,325
Mission,Private room,37.74979,-122.40877,105,3,75,1.18,2,212
Mission,Entire home/apt,37.74973,-122.40918,215,7,22,0.34,2,182
Pacific Heights,Entire home/apt,37.79406,-122.42661,200,30,33,0.64,1,106
Bernal Heights,Entire home/apt,37.7422,-122.41992,164,30,388,5.91,3,82
Bayview,Entire home/apt,37.73254,-122.3884,92,30,24,0.4,1,336
Western Addition,Private room,37.78753,-122.44018,75,30,18,0.27,1,365
West of Twin Peaks,Entire home/apt,37.74299,-122.46664,69,4,224,3.42,3,132
Noe Valley,Entire home/apt,37.74256,-122.43406,650,2,127,1.96,3,199
Bernal Heights,Entire home/apt,37.73457,-122.41127,275,4,16,0.25,1,0
Castro/Upper Market,Entire home/apt,37.75713,-122.43199,120,30,32,0.5,1,140
Castro/Upper Market,Entire home/apt,37.76312,-122.4315,198,30,63,0.96,2,113
Mission,Private room,37.74992,-122.40822,105,3,152,2.7,2,0
Haight Ashbury,Entire home/apt,37.77507,-122.44094,235,2,38,0.59,2,292
Nob Hill,Entire home/apt,37.79439,-122.41502,122,30,17,0.27,4,340
Nob Hill,Entire home/apt,37.79463,-122.41632,157,30,20,0.31,4,353
Castro/Upper Market,Private room,37.76852,-122.42787,88,4,174,2.8,3,9
South of Market,Entire home/apt,37.77669,-122.40927,333,2,225,3.7,1,72
Mission,Entire home/apt,37.75932,-122.42121,290,5,16,0.24,1,78
Outer Sunset,Private room,37.75457,-122.48331,98,2,64,0.98,1,21
Pacific Heights,Entire home/apt,37.79398,-122.42506,140,30,12,0.19,9,299
Mission,Entire home/apt,37.75392,-122.42502,232,30,68,1.09,4,242
Pacific Heights,Entire home/apt,37.7937,-122.42497,140,30,21,0.5,1,0
Potrero Hill,Entire home/apt,37.75673,-122.40304,126,30,22,0.35,1,364
Downtown/Civic Center,Private room,37.79004,-122.40921,299,1,16,0.25,1,77
Mission,Entire home/apt,37.75782,-122.41081,180,16,29,0.47,1,0
Inner Richmond,Entire home/apt,37.78249,-122.45908,395,30,233,3.69,1,302
Inner Richmond,Entire home/apt,37.78591,-122.47692,180,2,126,1.97,1,274
Castro/Upper Market,Private room,37.76161,-122.4324,99,1,332,5.21,1,292
Outer Richmond,Entire home/apt,37.77557,-122.49331,280,4,29,0.47,1,2
Mission,Private room,37.75332,-122.41799,94,5,58,0.9,2,137
Golden Gate Park,Private room,37.77256,-122.45867,125,2,167,2.58,5,327
