neighbourhood,room_type,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Mission,Entire home/apt,37.76245,-122.42432,950,3,54,0.55,1,340
Mission,Entire home/apt,37.74926,-122.41398,166,2,349,3.32,1,317
Mission,Entire home/apt,37.754,-122.41771,125,2,219,2.16,4,217
Marina,Private room,37.80317,-122.42874,90,30,66,0.68,1,325
Inner Richmond,Entire home/apt,37.77798,-122.47812,95,30,97,0.99,2,0
Outer Richmond,Entire home/apt,37.77719,-122.50906,216,30,12,0.12,18,332
Mission,Entire home/apt,37.75426,-122.42387,326,31,35,0.35,1,341
Inner Richmond,Entire home/apt,37.77442,-122.46319,80,30,52,0.52,1,309
Excelsior,Private room,37.73027,-122.42644,46,30,39,0.38,14,310
Excelsior,Private room,37.73128,-122.42478,45,30,26,0.26,14,281
Seacliff,Entire home/apt,37.77707,-122.50923,185,30,7,0.07,18,323
Bernal Heights,Entire home/apt,37.74527,-122.42424,108,30,10,0.11,1,96
Chinatown,Shared room,37.79364,-122.40635,30,30,13,0.13,20,323
Financial District,Shared room,37.79447,-122.4045,45,1,376,3.63,20,46
Bernal Heights,Private room,37.74578,-122.40841,109,2,132,3.16,1,227
Inner Richmond,Entire home/apt,37.77625,-122.46466,80,30,2,0.02,1,355
Western Addition,Entire home/apt,37.77518,-122.43334,100,30,96,0.94,12,303
Financial District,Shared room,37.79309,-122.40443,45,1,384,3.77,20,32
Western Addition,Entire home/apt,37.77588,-122.43143,95,30,52,0.5,12,269
South of Market,Entire home/apt,37.77026,-122.41855,270,30,30,0.35,1,363
Western Addition,Entire home/apt,37.77388,-122.43298,120,30,19,0.21,12,247
Excelsior,Private room,37.73137,-122.42532,45,30,34,0.33,14,351
Excelsior,Private room,37.73128,-122.42473,40,30,9,0.1,14,365
Excelsior,Private room,37.73048,-122.42494,45,30,34,0.34,14,247
Glen Park,Entire home/apt,37.73838,-122.43375,135,3,372,3.66,1,125
Excelsior,Private room,37.73134,-122.42457,57,30,22,0.24,14,248
Mission,Private room,37.75615,-122.41927,75,2,86,0.86,4,229
Haight Ashbury,NULL,37.77065,-122.44252,140,30,20,0.3,1,135
Western Addition,Entire home/apt,37.78493,-122.44618,83,30,14,0.14,1,285
Excelsior,Private room,37.73152,-122.42547,45,30,20,0.2,14,365
Bernal Heights,Private room,37.7343,-122.42092,97,2,392,3.87,2,41
Western Addition,Private room,37.78528,-122.44358,90,1,87,0.87,1,217
Outer Richmond,Entire home/apt,37.77483,-122.50952,85,30,8,0.08,18,256
Castro/Upper Market,Entire home/apt,37.75969,-122.44445,85,4,241,2.4,2,29
Noe Valley,Private room,37.7455,-122.42898,115,2,346,3.42,1,2
Haight Ashbury,Entire home/apt,37.76194,-122.44929,201,30,95,0.99,1,339
Pacific Heights,Private room,37.79176,-122.42476,59,30,133,1.33,9,292
Mission,Entire home/apt,37.76809,-122.42439,185,4,20,15.79,1,0
Mission,Entire home/apt,37.75629,-122.42518,450,4,11,0.11,1,121
Chinatown,Shared room,37.79297,-122.40664,30,30,6,0.07,20,354
Outer Sunset,Private room,37.75754,-122.49852,85,45,3,0.13,4,354
Downtown/Civic Center,Entire home/apt,37.78535,-122.41515,145,30,60,0.6,1,76
West of Twin Peaks,Entire home/apt,37.73327,-122.46435,125,2,343,3.46,1,315
Bayview,Entire home/apt,37.71549,-122.38922,120,30,8,0.08,1,249
Chinatown,Shared room,37.79294,-122.40659,30,30,14,0.16,7,227
Castro/Upper Market,Private room,37.76102,-122.43005,125,1,543,5.44,1,302
North Beach,Entire home/apt,37.80591,-122.4083,125,30,8,0.08,1,47
Western Addition,Entire home/apt,37.77083,-122.43109,200,30,36,0.41,1,92
Haight Ashbury,Entire home/apt,37.76813,-122.44494,150,30,81,0.84,2,235
Castro/Upper Market,Entire home/apt,37.75887,-122.43565,328,3,146,1.47,1,217
Haight Ashbury,Private room,37.76609,-122.45126,65,32,10,0.12,9,354
Mission,Entire home/apt,37.75586,-122.42092,97,30,85,0.86,1,303
Bernal Heights,Private room,37.73974,-122.42299,69,1,115,1.16,1,134
Marina,Entire home/apt,37.80356,-122.42589,275,3,71,0.72,1,0
Inner Richmond,Entire home/apt,37.7806,-122.47597,550,4,18,0.18,1,0
Inner Richmond,Entire home/apt,37.7879,-122.46474,594,7,0,0,1,39
Bernal Heights,Private room,37.74708,-122.42456,102,30,227,2.52,3,180
Mission,Entire home/apt,37.75558,-122.42474,1200,6,26,0.27,3,78
North Beach,Entire home/apt,37.79835,-122.4042,150,30,67,0.68,1,341
